物件ID,出展元,取得日,種別細目,種別コード,都道府県コード,市町村コード,町名コード,都道府県名,市町村名,町名,住所詳細,原本住所,物件名,部屋名,価格,旧価格,面積,地目,土地権利,用途地域,建ぺい率,容積率,建物面積,建築年月,"建物構造",間取り数,間取りタイプ,間取り詳細,備考,取引態様,transaction_type_code,駐車場,駐車料金,階数,総階数,現況,引渡し,引渡日,コメント,取扱業者,担当,広告,交通,道路,管理形態,総建物面積,バルコニー面積,管理費,積立金,登録日,確認日,価格変更日,URL,ペット可,建築条件,pic01,更新フラグ,新着フラグ
5535819282,ハトマークサイト,"2026-01-12 01:45:24",1101,11,34,34207,342070050007,広島県,福山市,東深津町七丁目,,広島県福山市東深津町７丁目,売地,,120,300,208.85,畑,,第一種中高層住居専用地域,60％,200％,,,,,,,,,,,,,,,,,物件種目：売地,(株)瀬良商店,,,"東深津町一丁目停 徒歩5分",,,,,0,0,2025-07-02,2026-01-12,2025-10-22,https://www.hatomarksite.com/search/zentaku/bukken/5103616841,,,https://storage3.zentaku.or.jp/prod/034/100182/regsys/5103616841/image/5103616841_3995674290.jpg,0,0
5538761351,不動産ジャパン,"2026-01-12 03:57:11",1101,11,34,34207,342070050007,広島県,福山市,東深津町七丁目,,広島県福山市東深津町７丁目,売地,,120,300,208.85,畑,所有権,第一種中高層住居専用地域,60%,200%,,,,,,,,売主,1,,,,,更地,,,"現況渡
セットバック要 11.88㎡
傾斜地　【法令上の制限：宅地造成法規制区域、農地法５条の届出必要、セットバック有り】
",（株）瀬良商店,,,"東深津町一丁目バス停 徒歩5分","一方道路
 西 幅3.4m 公道 接面39.6m",,,,0,0,2025-07-03,2026-01-12,2025-10-23,https://www.fudousan.or.jp/property/detail?p_no=000012508674,,,https://storage3.zentaku.or.jp/prod/034/100182/regsys/5103616841/image/5103616841_3995674290.jpg,0,0
5536197350,ライフルホームズ,"2026-01-12 07:28:37",1101,11,34,34207,342070050007,広島県,福山市,東深津町七丁目,,広島県福山市東深津町７丁目,土地,,120,300,208.85,畑,所有権,第一種中高層住居専用,60,200,,,,,,,,売主(自社物),,その他,,,,更地,相談,,深津隧道の上、北側になります。傾斜地,株式会社瀬良商店,,,"バス 東深津町一丁目下車 徒歩5分",一方,,,,,,2025-07-02,2026-01-05,2025-10-22,https://www.homes.co.jp/tochi/b-32122140000254/,0,0,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F3212214%2Fsale%2F254%2F2%2F2%2Ffqb5.jpg&width=208&height=138,0,0
5551553968,アットホーム,"2026-01-12 01:23:33",1101,11,34,34207,342070050007,広島県,福山市,東深津町七丁目,,福山市東深津町７丁目,土地,,120,300,208.85,,,,60%,200%,,,,,,,,,,,,,,,,,"【最適用途】住宅用地
","(株)瀬良商店（ＪＲ山陽本線/福山 徒歩10分）",,,"【バス】東深津町一丁目 停歩5分",,,,,,,2025-07-09,2026-01-12,2025-10-22,https://www.athome.co.jp/tochi/6986863423/?DOWN=1&BKLISTID=001LPC&SEARCHDIV=1&sref=list_simple,,0,,0,0
5421300771,ライフルホームズ,"2026-01-12 07:28:38",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,土地,,1300,,152.33,宅地,所有権,第一種中高層住居専用,60,200,,,,,,,,一般媒介(自社物),,その他,,,,更地,相談,,"
",有限会社タナベ不動産,,,"バス 厳山バス停下車 徒歩2分",,,,,,,2025-05-12,2026-01-02,,https://www.homes.co.jp/tochi/b-32122150000139/,0,0,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F3212215%2Fsale%2F139%2F2%2F2%2Fle0u.jpg&width=208&height=138,,0
5171764076,不動産ジャパン,"2026-01-12 03:58:56",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,売地,,380,580,257.00,宅地,所有権,第一種中高層住居専用地域,60%,200%,,,,,,,,専属専任媒介,3,,,,,古家有,,,"現況渡

住宅2階建て以下
",（株）不動産情報センター,,,"綱木バス停 徒歩3分","一方道路
 南 幅2.7m 私道",,,,0,0,2025-01-19,2026-01-12,2025-10-23,https://www.fudousan.or.jp/property/detail?p_no=000011976621,,,https://storage3.zentaku.or.jp/prod/034/54088/regsys/5103161230/image/5103161230_3e512f5522.jpg,0,0
5905683848,不動産ジャパン,"2026-01-12 03:58:21",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,売地,,400,,96.88,宅地,所有権,第一種中高層住居専用地域,60%,200%,,,,,,,,専任媒介,4,,,,,更地,,,"建築条件なし

セットバックで道路提供しますと、有効面積は約20坪となります。
",タカセ不動産株式会社福山店,,,"山陽本線「福山」からバスにて10分 「厳山」下車 徒歩3分","一方道路
 南 幅2m 私道",,,,0,0,2025-12-09,2026-01-12,,https://www.fudousan.or.jp/property/detail?p_no=000012969306,,0,,,0
5322269839,ハトマークサイト,"2026-01-12 01:51:13",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,売地,,1300,,152.33,宅地,,第一種中高層住居専用地域,60％,200％,,,,,,,,,,,,,,,,,物件種目：売地,(有)タナベ不動産,,,"厳山バス停停 徒歩2分",,,,,0,0,2025-03-28,2026-01-12,,https://www.hatomarksite.com/search/zentaku/bukken/5103341713,,,https://storage3.zentaku.or.jp/prod/034/54417/regsys/5103341713/image/5103341713_1f06806b5f.jpg,,0
5254026138,不動産ジャパン,"2026-01-12 03:57:11",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,売地,,1200,1250,152.33,宅地,所有権,第一種中高層住居専用地域,60%,200%,,,,,,,,売主,1,,,,,更地,,,"更地渡

前面道路は位置指定道路。水道管私設管（共同使用）
","ＡＢｅａｍＣｏｒｐｏｒａｔｉｏｎ 株式会社",,,"福塩線 「福山」駅 徒歩34分  車14分
福山駅から一般道利用の場合",,,,,0,0,2025-02-25,2026-01-12,2025-12-04,https://www.fudousan.or.jp/property/detail?p_no=000012109156,,,https://img4.athome.jp/image_files/index/bukken/6985340420/1,0,0
5168667551,ハトマークサイト,"2026-01-12 01:53:56",1101,11,34,34207,342070043006,広島県,福山市,西深津町六丁目,,広島県福山市西深津町６丁目,売地,,380,580,257.00,宅地,,第一種中高層住居専用地域,60％,200％,,,,,,,,,,,,,,,,,物件種目：売地,(株)不動産情報センター,,,"綱木停 徒歩3分",,,,,0,0,2025-01-18,2026-01-12,2025-10-22,https://www.hatomarksite.com/search/zentaku/bukken/5103161230,,,https://storage3.zentaku.or.jp/prod/034/54088/regsys/5103161230/image/5103161230_3e512f5522.jpg,0,0
